Model,Accuracy,Precision,Recall,F1 Score,MCC,ROC AUC
Logistic Regression,0.9218903036238981,0.9224989368457458,0.9218903036238981,0.9220338882449541,0.9056399899353407,0.9947418946946202
Decision Tree,0.8929970617042116,0.8927592141138009,0.8929970617042116,0.8927802349279035,0.8705756980240179,0.9438948936075136
KNN,0.9174828599412341,0.9178083693623392,0.9174828599412341,0.9175373578921198,0.9001962900504656,0.9845729996261262
Naive Bayes,0.8969147894221352,0.8993154760218639,0.8969147894221352,0.8969500427873754,0.876060212,0.9918334581134144
Random Forest,0.9209108716944172,0.9209190477704313,0.9209108716944172,0.9208588927379231,0.9043512833462316,0.9917999598122076
XGBoost,0.9209108716944172,0.9210542211596661,0.9209108716944172,0.9208573444155645,0.9043218650155804,0.9940016176142478
